A,K,Q,J,T,9,8,7,6,5,4,3,2
10.1368,3.6752,2.6337999999999995,2.0926,1.7727999999999997,1.2151999999999998,0.9773999999999998,0.8543999999999998,0.756,0.8789999999999998,0.7806,0.7067999999999999,0.6084
2.9044,8.1524,1.904,1.5923999999999996,1.3381999999999996,0.8625999999999998,0.5920000000000001,0.51,0.4362,0.38699999999999996,0.33780000000000004,0.2803999999999999,0.25579999999999997
1.7727999999999997,1.1085999999999998,6.3976,1.3956,1.1742,0.756,0.4936,0.305,0.25579999999999997,0.22300000000000003,0.19839999999999997,0.15739999999999993,0.1164
1.1987999999999999,0.8133999999999999,0.6903999999999999,4.9216,1.1003999999999998,0.7395999999999998,0.4771999999999999,0.27219999999999994,0.1492,0.12459999999999999,0.09179999999999999,0.050799999999999956,0.026199999999999946
0.9036,0.6247999999999998,0.5509999999999999,0.5591999999999999,3.6506,0.756,0.5182,0.2968,0.14100000000000001,0.009799999999999975,-0.014800000000000035,-0.03939999999999999,-0.064
0.4689999999999999,0.23120000000000002,0.19019999999999998,0.21479999999999994,0.26399999999999996,2.6584,0.5182,0.32959999999999995,0.1492,0.0015999999999999903,-0.1296,-0.14599999999999996,-0.17060000000000003
0.2885999999999999,-0.02300000000000002,-0.064,-0.031200000000000006,0.026199999999999946,0.04259999999999997,2.0187999999999997,0.38699999999999996,0.19839999999999997,0.07539999999999997,-0.08859999999999996,-0.22799999999999998,-0.2444
0.16559999999999991,-0.11320000000000002,-0.23620000000000002,-0.23620000000000002,-0.187,-0.14599999999999996,-0.10500000000000004,1.6334,0.305,0.1164,-0.014800000000000035,-0.187,-0.31
0.07539999999999997,-0.17060000000000003,-0.2772,-0.31,-0.31,-0.31,-0.2526,-0.19519999999999998,1.3545999999999996,0.23120000000000002,0.08359999999999995,-0.07220000000000004,-0.2526
0.16559999999999991,-0.2198,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.23620000000000002,1.0675999999999999,0.18199999999999994,0.059,-0.11320000000000002
0.09179999999999999,-0.2608,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.2608,0.8379999999999999,0.018000000000000016,-0.1296
0.018000000000000016,-0.3018,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,0.6739999999999999,-0.17880000000000001
-0.064,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,0.5509999999999999
